0,1000000.0
1,1000206.2756470755
2,997232.9987663716
3,992746.0068616043
4,990452.6222447112
5,991534.0228908847
6,994237.1923301878
7,982606.9859362096
8,990277.0515571849
9,974342.909629042
10,976629.1285385521
11,963276.8476712252
12,969625.6069137051
13,982891.0253723398
14,970431.340621663
15,987354.3646089836
16,976086.4637486855
17,981652.4168971868
18,1005511.7937300875
19,1005709.6784857411
20,987895.1433030949
21,998627.5470719209
22,1002135.4574705807
23,986060.7115658844
24,973372.5976741412
25,975176.8122557362
26,969479.9281758799
27,956973.6751431788
28,974475.9310450923
29,991263.5385934676
30,1008193.8418478027
31,1002549.3536462337
32,1000264.7209480081
33,1015198.1940342296
34,1005912.8969857134
35,1009491.087976709
36,1021503.4069964641
37,1021034.8765463631
38,1014233.2523370599
39,1031836.0247776269
40,1030675.4658762304
41,1032445.908674153
42,1034422.5554954539
43,1035232.1320236092
44,1033561.5142391
45,1034706.4875303821
46,1035218.029709344
47,1043324.6385727571
48,1044249.4981628021
49,1045161.2183024364
50,1046816.1273495189
51,1049519.2285949306
52,1052485.3051731575
53,1052527.1307415892
54,1051674.7652458658
55,1049884.3241544669
56,1049962.0629148022
57,1050331.7952552023
58,1053084.9270949203
59,1055134.715160609
60,1054848.8987772595
61,1057857.7004463985
62,1057662.282679287
0,1057662.282679287
1,1057890.6832624886
2,1055272.7340242332
3,1055142.2506567074
4,1054500.6979597106
5,1056549.890742988
6,1057152.8821004797
7,1057410.2345641733
8,1057546.447951071
9,1059774.0425083311
10,1059611.4831215895
11,1059121.2353050178
12,1057335.5719227237
13,1058152.3097963952
14,1057599.5541810517
15,1057507.4277836885
16,1058356.1917496074
17,1055288.4173344772
18,1054152.8145835132
19,1056333.0729584969
20,1055491.4197453768
21,1054633.1802245046
22,1054119.060979942
23,1053950.404234244
24,1054880.4169244505
25,1056381.467321278
26,1053958.5107211766
27,1053574.8882966293
28,1052105.465515548
29,1053575.9129158426
30,1051398.6474111234
31,1051121.722777076
32,1050430.2897158603
33,1050893.5081630745
