,0
0,-9510.500262608984
1,5757.294042097405
2,2576.832060263958
3,2766.1052251106594
4,12001.396846651565
5,131.3898360177409
6,7017.925185442204
7,293.04502681666054
8,-6716.04641024163
9,11536.320038493956
10,-6308.626046680845
11,-1615.4655772554688
12,-6.680872307159007
13,16517.641081365757
14,36914.68536541052
15,11842.913546278141
16,-1580.0509631417226
17,-134.51594361569732
18,1369.7854353799485
19,930.1470209539402
20,427.0044165451545
21,1747.966583833797
22,448.06689779879525
23,-1911.259657872608
24,-1292.0759137384593
25,-8159.809932942502
26,772.6130786731374
27,6448.5535358425695
28,260.39975025714375
29,1600.1360108680092
30,-19705.602188816294
31,-3260.8541810181923
32,2388.974440241698
33,14389.604677038034
34,-5430.315000149654
35,-178.09205394494347
36,1363.1864495747723
37,-1417.1916753812693
38,2899.7610293747857
39,2822.3042765173595
40,5046.5115766818635
41,5304.053667112486
42,-19738.099490717985
43,2464.233954805415
44,-1506.1942115242127
45,1687.769052296877
46,19729.242437547306
47,6866.5842656344175
48,6257.783577948576
49,4923.562544040848
50,5373.602706102654
51,9562.677612083033
52,5257.058135355124
53,9962.78365515126
54,-2171.1726459211204
55,282.33182804309763
56,-3451.4866766079795
57,-4075.2369676991366
58,3340.188928649761
59,3511.6682231735904
60,1215.510191353038
61,11832.598633123096
