,0
0,-29440.782567578368
1,-3021.510955640115
2,27409.55584175
3,-17298.43178788433
4,19667.51785783074
5,-10887.151635684306
6,12268.298047271091
7,15849.9514855647
8,-1158.6137243330013
9,-4793.721312739421
10,-1392.3028048872948
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,231.08890542853624
29,-191.07162598823197
30,-627.8072261959314
31,2016.718503602082
32,-1960.2302906541154
33,581.5050768256187
34,-1301.3476743323263
35,-2755.882820791099
36,-9205.100500686793
37,8128.740841811057
38,-7619.793792697135
39,5150.90924772108
40,3943.795206768904
41,222.5962652724702
42,11136.256367552327
43,9222.432084413478
44,1686.911484475946
45,2805.48225409328
46,1980.6676726920996
47,-5145.169438255485
48,-2265.1351260193624
49,-5855.3789182389155
50,-3800.1475251601078
51,-16163.719010557514
52,-3620.8630257761106
53,-14787.30781905679
54,7546.23184892931
55,-19729.553183173062
56,844.0872832853347
57,-11344.771629913012
58,7608.007879184792
59,1001.4179172799923
60,-1330.2991282960866
61,0.0
