,0
0,-53.42881777440198
1,-5790.742111519212
2,14039.334787233267
3,3125.9547094721347
4,7415.571607142221
5,5155.527940168511
6,3081.6770853367634
7,1884.947378770914
8,595.5272267700639
9,-689.9405146974605
10,7815.015410023974
11,-3806.217185561545
12,7316.754371951101
13,-8097.523408983368
14,-3355.966839935165
15,-7664.226671427488
16,1360.40313454438
17,3072.2740914630704
18,-7170.367304901825
19,-2305.907056505792
20,4055.9073849217966
21,-371.16320491279475
22,2907.293655089801
23,44.22805989347398
24,-204.98089975398034
25,-1081.266348547535
26,5738.02273630281
27,-3562.544074897887
28,2590.416220014915
29,-6707.179776205448
30,2398.3078182952013
31,6686.577022055397
32,-4033.449133653892
33,-1253.1857428830117
34,907.3107436117716
35,-2512.218744352227
36,-3672.176415406866
37,-6097.653116799891
38,7135.5099042134825
39,-3881.990857251687
40,-5244.803072463721
41,-296.9914769725874
42,6359.783679329092
43,2911.5491426214576
44,-1269.8013204759918
45,4645.201525310986
46,-24666.613985879812
47,9782.023596714018
48,-19158.725901792524
49,-2489.090742459288
50,11151.220928075723
51,-2871.700930951163
52,-339.1562654473819
53,-3157.5506968328264
54,11739.685812454205
55,4248.021713565569
56,-6576.313483550446
57,-7508.909763550153
58,8667.175325121963
59,7237.830516238697
60,-10992.540241789306
61,10665.721864995314
